pos,corr_resp,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,probe.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,,sequesntial RT,randomRT,,,,,,,,,,sequesntial RT,randomRT
150,v,0,0,0,0,9,1,37,1,,,,,110.89476295898203,111.88889225001913,111.88889225001913,111.88889225001913,111.88889225001913,111.88889225001913,112.88577074999921,112.88577074999921,,v,1,0.5064289160072803,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.5064289160072803,0.726718457,,,,,,,,,,0.5064289160072803,0.726718457
50,c,0,0,0,0,9,2,38,2,,,,,113.40221791702788,114.38998954195995,114.38998954195995,114.38998954195995,114.38998954195995,114.3997303340584,115.38612862501759,115.38612862501759,,c,1,0.27015983196906745,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.27015983196906745,0.4364701649174094,,,,,,,,,,0.27015983196906745,0.4364701649174094
-150,z,0,0,0,0,9,3,39,3,,,,,115.66982820897829,116.6573859170312,116.6573859170312,116.6573859170312,116.6573859170312,116.66644016699865,117.65364575001877,117.65364575001877,,z,1,0.42875483189709485,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.42875483189709485,0.3680378319695592,,,,,,,,,,0.42875483189709485,0.3680378319695592
-50,x,0,0,0,0,10,0,40,0,,,,,118.09472012496553,119.08912329201121,119.08912329201121,119.08912329201121,119.08912329201121,119.08912329201121,120.0867157089524,120.0867157089524,,x,1,0.29709691496100277,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.29709691496100277,0.5032728740479797,,,,,,,,,,0.29709691496100277,0.5032728740479797
150,v,0,0,0,0,10,1,41,1,,,,,120.39499475003686,121.37970137502998,121.37970137502998,121.37970137502998,121.37970137502998,121.38930991699453,122.38581754197367,122.38581754197367,,v,1,0.4205055399797857,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.4205055399797857,0.4936829989310354,,,,,,,,,,0.4205055399797857,0.4936829989310354
50,c,0,0,0,0,10,2,42,2,,,,,122.81929187499918,123.80742312502116,123.80742312502116,123.80742312502116,123.80742312502116,123.81648425001185,124.81134645896964,124.81134645896964,,c,1,0.3301895400509238,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.3301895400509238,0.3143381649861112,,,,,,,,,,0.3301895400509238,0.3143381649861112
-150,z,0,0,0,0,10,3,43,3,,,,,125.15233137505129,126.14029766700696,126.14029766700696,126.14029766700696,126.14029766700696,126.14918199996464,127.14475524995942,127.14475524995942,,z,1,0.4588667070493102,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.4588667070493102,0.41861783200874925,,,,,,,,,,0.4588667070493102,0.41861783200874925
-50,x,0,0,0,0,11,0,44,0,,,,,127.61928583402187,128.6073959589703,128.6073959589703,128.6073959589703,128.6073959589703,128.6164496249985,129.6029220840428,129.6029220840428,,x,1,0.444238999,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.444238999,0.5808084150776267,,,,,,,,,,0.444238999,0.5808084150776267
150,v,0,0,0,0,11,1,45,1,,,,,130.0615880000405,131.0555367920315,131.0555367920315,131.0555367920315,131.0555367920315,131.0555367920315,132.04540516703855,132.04540516703855,,v,1,0.4428527900017798,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.4428527900017798,0.8190007909433916,,,,,,,,,,0.4428527900017798,0.8190007909433916
50,c,0,0,0,0,11,2,46,2,,,,,132.50238508405164,133.49043116695248,133.49043116695248,133.49043116695248,133.49043116695248,133.4993320000358,134.49587208405137,134.49587208405137,,c,1,0.2795104569522664,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.2795104569522664,0.5054901239927858,,,,,,,,,,0.2795104569522664,0.5054901239927858
-150,z,0,0,0,0,11,3,47,3,,,,,134.7860051250318,135.77345987502486,135.77345987502486,135.77345987502486,135.77345987502486,135.78299916698597,136.77097062498797,136.77097062498797,,z,1,0.42645645688753575,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.42645645688753575,0.7175502069294453,,,,,,,,,,0.42645645688753575,0.7175502069294453
-50,x,0,0,0,0,12,0,48,0,,,,,137.2117770840414,138.2059642500244,138.2059642500244,138.2059642500244,138.2059642500244,138.2059642500244,139.19561325001996,139.19561325001996,,x,1,0.2871056649601087,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.2871056649601087,0.7692412489559501,,,,,,,,,,0.2871056649601087,0.7692412489559501
150,v,0,0,0,0,12,1,49,1,,,,,139.49486537498888,140.48960616695695,140.48960616695695,140.48960616695695,140.48960616695695,140.48960616695695,141.4783122499939,141.4783122499939,,v,1,0.4200969149824232,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.4200969149824232,0.4523558729561046,,,,,,,,,,0.4200969149824232,0.4523558729561046
50,c,0,0,0,0,12,2,50,2,,,,,141.91168187500443,142.90668224997353,142.90668224997353,142.90668224997353,142.90668224997353,142.90668224997353,143.90411483403295,143.90411483403295,,c,1,0.3004242479801178,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.3004242479801178,0.4685059569310397,,,,,,,,,,0.3004242479801178,0.4685059569310397
-150,z,0,0,0,0,12,3,51,3,,,,,144.2197218,145.2069497089833,145.2069497089833,145.2069497089833,145.2069497089833,145.2158074589679,146.20363558398094,146.20363558398094,,z,1,0.2760931239463389,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.2760931239463389,0.5758355400757864,,,,,,,,,,0.2760931239463389,0.5758355400757864
-50,x,0,0,0,0,13,0,52,0,,,,,146.49529937503394,147.48941191704944,147.48941191704944,147.48941191704944,147.48941191704944,147.48941191704944,148.48757095902693,148.48757095902693,,x,1,0.2433452900731936,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.2433452900731936,0.40852166595868766,,,,,,,,,,0.2433452900731936,0.40852166595868766
150,v,0,0,0,0,13,1,53,1,,,,,148.74502095906064,149.74579958396498,149.74579958396498,149.74579958396498,149.74579958396498,149.76240766700357,150.7373430839507,150.7373430839507,,v,1,0.3211607070406899,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.3211607070406899,0.4257957899244502,,,,,,,,,,0.3211607070406899,0.4257957899244502
50,c,0,0,0,0,13,2,54,2,,,,,151.06976341700647,152.0565232919762,152.0565232919762,152.0565232919762,152.0565232919762,152.06623416696675,153.0618910000194,153.0618910000194,,c,1,0.3953440400073305,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.3953440400073305,0.2898699149955064,,,,,,,,,,0.3953440400073305,0.2898699149955064
-150,z,0,0,0,0,13,3,55,3,,,,,153.47011058405042,154.45736212504562,154.45736212504562,154.45736212504562,154.45736212504562,154.46669441706035,155.4538577919593,155.4538577919593,,z,1,0.5278706650715321,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.5278706650715321,0.5266534979455173,,,,,,,,,,0.5278706650715321,0.5266534979455173
-50,x,0,0,0,0,14,0,56,0,,,,,155.99528745899443,156.9825205419911,156.9825205419911,156.9825205419911,156.9825205419911,156.9962753750151,157.9785151,157.9785151,,x,1,0.26149449904914945,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.26149449904914945,0.3763339569559321,,,,,,,,,,0.26149449904914945,0.3763339569559321
150,v,0,0,0,0,14,1,57,1,,,,,158.25335787504446,159.24027291696984,159.24027291696984,159.24027291696984,159.24027291696984,159.24982549995184,160.2369254999794,160.2369254999794,,v,1,0.38954158197157085,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.38954158197157085,0.5020472479518503,,,,,,,,,,0.38954158197157085,0.5020472479518503
50,c,0,0,0,0,14,2,58,2,,,,,160.63476320903283,161.62369154195767,161.62369154195767,161.62369154195767,161.62369154195767,161.63227808405645,162.62079266703222,162.62079266703222,,c,1,0.26620103989262134,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.26620103989262134,0.7276032069930807,,,,,,,,,,0.26620103989262134,0.7276032069930807
-150,z,0,0,0,0,14,3,59,3,,,,,162.90308654203545,163.89035200001672,163.89035200001672,163.89035200001672,163.89035200001672,163.89931979204994,164.8956473750295,164.8956473750295,,z,1,0.3443737899651751,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.3443737899651751,0.6126952479826286,,,,,,,,,,0.3443737899651751,0.6126952479826286
-50,x,0,0,0,0,15,0,60,0,,,,,165.2531168749556,166.24086091702338,166.24086091702338,166.24086091702338,166.24086091702338,166.25015129195526,167.2368867089972,167.2368867089972,,x,1,0.29475883196573704,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.29475883196573704,0.6517751649953425,,,,,,,,,,0.29475883196573704,0.6517751649953425
150,v,0,0,0,0,15,1,61,1,,,,,167.54559574997984,168.5401882500155,168.5401882500155,168.5401882500155,168.5401882500155,168.5401882500155,169.52864137501456,169.52864137501456,,v,1,0.42917529004625976,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.42917529004625976,0.46800366591196507,,,,,,,,,,0.42917529004625976,0.46800366591196507
50,c,0,0,0,0,15,2,62,2,,,,,169.9695562090492,170.9575468749972,170.9575468749972,170.9575468749972,170.9575468749972,170.9664134590421,171.95382787496783,171.95382787496783,,c,1,0.5018892070511356,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.5018892070511356,0.48429429007228464,,,,,,,,,,0.5018892070511356,0.48429429007228464
-150,z,0,0,0,0,15,3,63,3,,,,,172.46985145902727,173.4582962919958,173.4582962919958,173.4582962919958,173.4582962919958,173.46769079205114,174.46197537495755,174.46197537495755,,z,1,0.6550016649998724,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.6550016649998724,0.7198813740396872,,,,,,,,,,0.6550016649998724,0.7198813740396872
-50,x,0,0,0,0,16,0,64,0,,,,,175.1287013340043,176.11280329199508,176.11280329199508,176.11280329199508,176.11280329199508,176.1223829999799,177.11218095896766,177.11218095896766,,x,1,0.309792748,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.309792748,0.7405368729960173,,,,,,,,,,0.309792748,0.7405368729960173
